id,pais,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,agno
0,Argentina,6,3,3,0,0,10,4,6,Grupo 1,1930
1,Chile,4,3,2,0,1,5,3,2,Grupo 1,1930
2,Francia,2,3,1,0,2,4,3,1,Grupo 1,1930
3,México,0,3,0,0,3,4,13,–9,Grupo 1,1930
4,Yugoslavia,4,2,2,0,0,6,1,5,Grupo 2,1930
5,Brasil,2,2,1,0,1,5,2,3,Grupo 2,1930
6,Bolivia,0,2,0,0,2,0,8,–8,Grupo 2,1930
7,Uruguay,4,2,2,0,0,5,0,5,Grupo 3,1930
8,Rumania,2,2,1,0,1,3,5,–2,Grupo 3,1930
9,Perú,0,2,0,0,2,1,4,–3,Grupo 3,1930
10,Estados Unidos,4,2,2,0,0,6,0,6,Grupo 4,1930
11,Paraguay,2,2,1,0,1,1,3,–2,Grupo 4,1930
12,Bélgica,0,2,0,0,2,0,4,–4,Grupo 4,1930
13,Brasil,5,3,2,1,0,8,2,6,Grupo 1,1950
14,Yugoslavia,4,3,2,0,1,7,3,4,Grupo 1,1950
15,Suiza,3,3,1,1,1,4,6,–2,Grupo 1,1950
16,México,0,3,0,0,3,2,10,–8,Grupo 1,1950
17,España,6,3,3,0,0,6,1,5,Grupo 2,1950
18,Inglaterra,2,3,1,0,2,2,2,0,Grupo 2,1950
19,Chile,2,3,1,0,2,5,6,–1,Grupo 2,1950
20,Estados Unidos,2,3,1,0,2,4,8,–4,Grupo 2,1950
21,Suecia,3,2,1,1,0,5,4,1,Grupo 3,1950
22,Italia,2,2,1,0,1,4,3,1,Grupo 3,1950
23,Paraguay,1,2,0,1,1,2,4,–2,Grupo 3,1950
24,Uruguay,2,1,1,0,0,8,0,8,Grupo 4,1950
25,Bolivia,0,1,0,0,1,0,8,–8,Grupo 4,1950
26,Brasil,3,2,1,1,0,6,1,5,Grupo 1,1954
27,Yugoslavia,3,2,1,1,0,2,1,1,Grupo 1,1954
28,Francia,2,2,1,0,1,3,3,0,Grupo 1,1954
29,México,0,2,0,0,2,2,8,–6,Grupo 1,1954
30,Hungría,4,2,2,0,0,17,3,14,Grupo 2,1954
31,Alemania,2,2,1,0,1,7,9,–2,Grupo 2,1954
32,Turquía,2,2,1,0,1,8,4,4,Grupo 2,1954
33,Corea del Sur,0,2,0,0,2,0,16,–16,Grupo 2,1954
34,Uruguay,4,2,2,0,0,9,0,9,Grupo 3,1954
35,Austria,4,2,2,0,0,6,0,6,Grupo 3,1954
36,Checoslovaquia,0,2,0,0,2,0,7,–7,Grupo 3,1954
37,Escocia,0,2,0,0,2,0,8,–8,Grupo 3,1954
38,Inglaterra,3,2,1,1,0,6,4,2,Grupo 4,1954
39,Suiza,2,2,1,0,1,2,3,–1,Grupo 4,1954
40,Italia,2,2,1,0,1,5,3,2,Grupo 4,1954
41,Bélgica,1,2,0,1,1,5,8,–3,Grupo 4,1954
42,Alemania,4,3,1,2,0,7,5,2,Grupo 1,1958
43,Irlanda del Norte,3,3,1,1,1,4,5,–1,Grupo 1,1958
44,Checoslovaquia,3,3,1,1,1,8,4,4,Grupo 1,1958
45,Argentina,2,3,1,0,2,5,10,–5,Grupo 1,1958
46,Francia,4,3,2,0,1,11,7,4,Grupo 2,1958
47,Yugoslavia,4,3,1,2,0,7,6,1,Grupo 2,1958
48,Paraguay,3,3,1,1,1,9,12,–3,Grupo 2,1958
49,Escocia,1,3,0,1,2,4,6,–2,Grupo 2,1958
50,Suecia,5,3,2,1,0,5,1,4,Grupo 3,1958
51,Gales,3,3,0,3,0,2,2,0,Grupo 3,1958
52,Hungría,3,3,1,1,1,6,3,3,Grupo 3,1958
53,México,1,3,0,1,2,1,8,–7,Grupo 3,1958
54,Brasil,5,3,2,1,0,5,0,5,Grupo 4,1958
55,Rusia,3,3,1,1,1,4,4,0,Grupo 4,1958
56,Inglaterra,3,3,0,3,0,4,4,0,Grupo 4,1958
57,Austria,1,3,0,1,2,2,7,–5,Grupo 4,1958
58,Rusia,5,3,2,1,0,8,5,+3,Grupo 1,1962
59,Yugoslavia,4,3,2,0,1,8,3,+5,Grupo 1,1962
60,Uruguay,2,3,1,0,2,4,6,–2,Grupo 1,1962
61,Colombia,1,3,0,1,2,5,11,–6,Grupo 1,1962
62,Alemania,5,3,2,1,0,4,1,+3,Grupo 2,1962
63,Chile,4,3,2,0,1,5,3,+2,Grupo 2,1962
64,Italia,3,3,1,1,1,3,2,+1,Grupo 2,1962
65,Suiza,0,3,0,0,3,2,8,–6,Grupo 2,1962
66,Brasil,5,3,2,1,0,4,1,3,Grupo 3,1962
