,Pts.,PJ,G,E,P,GF,GC,Dif.,Grupo,year
Argentina,6,3,3,0,0,10,4,6,Grupo 1,1930
Chile,4,3,2,0,1,5,3,2,Grupo 1,1930
Francia,2,3,1,0,2,4,3,1,Grupo 1,1930
México,0,3,0,0,3,4,13,–9,Grupo 1,1930
Yugoslavia,4,2,2,0,0,6,1,5,Grupo 2,1930
Brasil,2,2,1,0,1,5,2,3,Grupo 2,1930
Bolivia,0,2,0,0,2,0,8,–8,Grupo 2,1930
Uruguay,4,2,2,0,0,5,0,5,Grupo 3,1930
Rumania,2,2,1,0,1,3,5,–2,Grupo 3,1930
Perú,0,2,0,0,2,1,4,–3,Grupo 3,1930
Estados Unidos,4,2,2,0,0,6,0,6,Grupo 4,1930
Paraguay,2,2,1,0,1,1,3,–2,Grupo 4,1930
Bélgica,0,2,0,0,2,0,4,–4,Grupo 4,1930
