,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Unión Soviética,5,3,2,1,0,8,5,+3,Grupo 1,1962
Yugoslavia,4,3,2,0,1,8,3,+5,Grupo 1,1962
Uruguay,2,3,1,0,2,4,6,–2,Grupo 1,1962
Colombia,1,3,0,1,2,5,11,–6,Grupo 1,1962
Alemania Federal,5,3,2,1,0,4,1,+3,Grupo 2,1962
Chile,4,3,2,0,1,5,3,+2,Grupo 2,1962
Italia,3,3,1,1,1,3,2,+1,Grupo 2,1962
Suiza,0,3,0,0,3,2,8,–6,Grupo 2,1962
Brasil,5,3,2,1,0,4,1,3,Grupo 3,1962
Checoslovaquia,3,3,1,1,1,2,3,–1,Grupo 3,1962
México,2,3,1,0,2,3,4,–1,Grupo 3,1962
España,2,3,1,0,2,2,3,–1,Grupo 3,1962
Hungría,5,3,2,1,0,8,2,+6,Grupo 4,1962
Inglaterra,3,3,1,1,1,4,3,+1,Grupo 4,1962
Argentina,3,3,1,1,1,2,3,–1,Grupo 4,1962
Bulgaria,1,3,0,1,2,1,7,–6,Grupo 4,1962
