,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Colombia,3,3,1,0,2,4,5,–1,Grupo A,1994
Grecia,0,3,0,0,3,0,10,-10,Grupo D,1994
Bulgaria,6,3,2,0,1,6,3,3,Grupo D,1994
Irlanda,4,3,1,1,1,2,2,0,Grupo E,1994
Rusia,3,3,1,0,2,7,6,1,Grupo B,1994
Nigeria,6,3,2,0,1,6,2,4,Grupo D,1994
Alemania,7,3,2,1,0,5,3,2,Grupo C,1994
Países Bajos,6,3,2,0,1,4,3,1,Grupo F,1994
Brasil,7,3,2,1,0,6,1,5,Grupo B,1994
Corea del Sur,2,3,0,2,1,4,5,–1,Grupo C,1994
Suiza,4,3,1,1,1,5,4,1,Grupo A,1994
Bolivia,1,3,0,1,2,1,4,–3,Grupo C,1994
Italia,4,3,1,1,1,2,2,0,Grupo E,1994
España,5,3,1,2,0,6,4,2,Grupo C,1994
Marruecos,0,3,0,0,3,2,5,–3,Grupo F,1994
Suecia,5,3,1,2,0,6,4,2,Grupo B,1994
Camerún,1,3,0,1,2,3,11,–8,Grupo B,1994
Argentina,6,3,2,0,1,6,3,3,Grupo D,1994
Arabia Saudita,6,3,2,0,1,4,3,1,Grupo F,1994
Rumania,6,3,2,0,1,5,5,0,Grupo A,1994
Estados Unidos,4,3,1,1,1,3,3,0,Grupo A,1994
Bélgica,6,3,2,0,1,2,1,1,Grupo F,1994
México,4,3,1,1,1,3,3,0,Grupo E,1994
Noruega,4,3,1,1,1,1,1,0,Grupo E,1994
