,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,year
Uruguay,9,3,3,0,0,5,0,5,Grupo A,2018
Rusia,6,3,2,0,1,8,4,4,Grupo A,2018
Arabia Saudita,3,3,1,0,2,2,7,–5,Grupo A,2018
Egipto,0,3,0,0,3,2,6,–4,Grupo A,2018
España,5,3,1,2,0,6,5,1,Grupo B,2018
Portugal,5,3,1,2,0,5,4,1,Grupo B,2018
Irán,4,3,1,1,1,2,2,0,Grupo B,2018
Marruecos,1,3,0,1,2,2,4,–2,Grupo B,2018
Francia,7,3,2,1,0,3,1,2,Grupo C,2018
Dinamarca,5,3,1,2,0,2,1,1,Grupo C,2018
Perú,3,3,1,0,2,2,2,0,Grupo C,2018
Australia,1,3,0,1,2,2,5,–3,Grupo C,2018
Croacia,9,3,3,0,0,7,1,6,Grupo D,2018
Argentina,4,3,1,1,1,3,5,–2,Grupo D,2018
Nigeria,3,3,1,0,2,3,4,–1,Grupo D,2018
Islandia,1,3,0,1,2,2,5,–3,Grupo D,2018
Brasil,7,3,2,1,0,5,1,4,Grupo E,2018
Suiza,5,3,1,2,0,5,4,1,Grupo E,2018
Serbia,3,3,1,0,2,2,4,–2,Grupo E,2018
Costa Rica,1,3,0,1,2,2,5,–3,Grupo E,2018
Suecia,6,3,2,0,1,5,2,3,Grupo F,2018
México,6,3,2,0,1,3,4,–1,Grupo F,2018
Corea del Sur,3,3,1,0,2,3,3,0,Grupo F,2018
Alemania,3,3,1,0,2,2,4,–2,Grupo F,2018
Bélgica,9,3,3,0,0,9,2,7,Grupo G,2018
Inglaterra,6,3,2,0,1,8,3,5,Grupo G,2018
Túnez,3,3,1,0,2,5,8,–3,Grupo G,2018
Panamá,0,3,0,0,3,2,11,–9,Grupo G,2018
Colombia,6,3,2,0,1,5,2,3,Grupo H,2018
Japón,4,3,1,1,1,4,4,0,Grupo H,2018
Senegal,4,3,1,1,1,4,4,0,Grupo H,2018
Polonia,3,3,1,0,2,2,5,–3,Grupo H,2018
