Unnamed: 0,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Chile,4,3,2,0,1,5,3,2,Grupo 1,1930
Uruguay,4,2,2,0,0,5,0,5,Grupo 3,1930
Perú,0,2,0,0,2,1,4,–3,Grupo 3,1930
Francia,2,3,1,0,2,4,3,1,Grupo 1,1930
México,0,3,0,0,3,4,13,–9,Grupo 1,1930
Rumania,2,2,1,0,1,3,5,–2,Grupo 3,1930
Bélgica,0,2,0,0,2,0,4,–4,Grupo 4,1930
Argentina,6,3,3,0,0,10,4,6,Grupo 1,1930
Brasil,2,2,1,0,1,5,2,3,Grupo 2,1930
Paraguay,2,2,1,0,1,1,3,–2,Grupo 4,1930
Yugoslavia,4,2,2,0,0,6,1,5,Grupo 2,1930
Bolivia,0,2,0,0,2,0,8,–8,Grupo 2,1930
Estados Unidos,4,2,2,0,0,6,0,6,Grupo 4,1930
México,0,3,0,0,3,2,10,–8,Grupo 1,1950
Italia,2,2,1,0,1,4,3,1,Grupo 3,1950
Suecia,3,2,1,1,0,5,4,1,Grupo 3,1950
Paraguay,1,2,0,1,1,2,4,–2,Grupo 3,1950
Yugoslavia,4,3,2,0,1,7,3,4,Grupo 1,1950
Suiza,3,3,1,1,1,4,6,–2,Grupo 1,1950
Chile,2,3,1,0,2,5,6,–1,Grupo 2,1950
Uruguay,2,1,1,0,0,8,0,8,Grupo 4,1950
Estados Unidos,2,3,1,0,2,4,8,–4,Grupo 2,1950
España,6,3,3,0,0,6,1,5,Grupo 2,1950
Inglaterra,2,3,1,0,2,2,2,0,Grupo 2,1950
Bolivia,0,1,0,0,1,0,8,–8,Grupo 4,1950
Brasil,5,3,2,1,0,8,2,6,Grupo 1,1950
Brasil,3,2,1,1,0,6,1,5,Grupo 1,1954
Checoslovaquia,0,2,0,0,2,0,7,–7,Grupo 3,1954
Bélgica,1,2,0,1,1,5,8,–3,Grupo 4,1954
Inglaterra,3,2,1,1,0,6,4,2,Grupo 4,1954
Yugoslavia,3,2,1,1,0,2,1,1,Grupo 1,1954
Suiza,2,2,1,0,1,2,3,–1,Grupo 4,1954
Alemania Federal,2,2,1,0,1,7,9,–2,Grupo 2,1954
Corea del Sur,0,2,0,0,2,0,16,–16,Grupo 2,1954
Italia,2,2,1,0,1,5,3,2,Grupo 4,1954
Francia,2,2,1,0,1,3,3,0,Grupo 1,1954
Uruguay,4,2,2,0,0,9,0,9,Grupo 3,1954
Turquía,2,2,1,0,1,8,4,4,Grupo 2,1954
Escocia,0,2,0,0,2,0,8,–8,Grupo 3,1954
Hungría,4,2,2,0,0,17,3,14,Grupo 2,1954
Austria,4,2,2,0,0,6,0,6,Grupo 3,1954
México,0,2,0,0,2,2,8,–6,Grupo 1,1954
Irlanda del Norte,3,3,1,1,1,4,5,–1,Grupo 1,1958
Inglaterra,3,3,0,3,0,4,4,0,Grupo 4,1958
Gales,3,3,0,3,0,2,2,0,Grupo 3,1958
Suecia,5,3,2,1,0,5,1,4,Grupo 3,1958
Brasil,5,3,2,1,0,5,0,5,Grupo 4,1958
Unión Soviética,3,3,1,1,1,4,4,0,Grupo 4,1958
Austria,1,3,0,1,2,2,7,–5,Grupo 4,1958
México,1,3,0,1,2,1,8,–7,Grupo 3,1958
Escocia,1,3,0,1,2,4,6,–2,Grupo 2,1958
Checoslovaquia,3,3,1,1,1,8,4,4,Grupo 1,1958
Argentina,2,3,1,0,2,5,10,–5,Grupo 1,1958
Francia,4,3,2,0,1,11,7,4,Grupo 2,1958
Paraguay,3,3,1,1,1,9,12,–3,Grupo 2,1958
Alemania Federal,4,3,1,2,0,7,5,2,Grupo 1,1958
Yugoslavia,4,3,1,2,0,7,6,1,Grupo 2,1958
Hungría,3,3,1,1,1,6,3,3,Grupo 3,1958
Hungría,5,3,2,1,0,8,2,+6,Grupo 4,1962
Argentina,3,3,1,1,1,2,3,–1,Grupo 4,1962
Italia,3,3,1,1,1,3,2,+1,Grupo 2,1962
Inglaterra,3,3,1,1,1,4,3,+1,Grupo 4,1962
Unión Soviética,5,3,2,1,0,8,5,+3,Grupo 1,1962
Bulgaria,1,3,0,1,2,1,7,–6,Grupo 4,1962
Brasil,5,3,2,1,0,4,1,3,Grupo 3,1962
Chile,4,3,2,0,1,5,3,+2,Grupo 2,1962
