year,date,home_team,away_team,home_team_score,away_team_score,shoot_out,home_team_result,away_team_result,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_avg_fifa_points,away_team_avg_fifa_points,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
1930,1930-06-15,France,Mexico,4,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Argentina,France,1,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Chile,Mexico,3,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Chile,France,1,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Argentina,Mexico,6,3,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Argentina,Chile,3,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Yugoslavia,Brazil,2,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Yugoslavia,Bolivia,4,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Brazil,Bolivia,4,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Romania,Peru,3,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Uruguay,Peru,1,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Uruguay,Romania,4,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,USA,Belgium,3,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,USA,Paraguay,3,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Paraguay,Belgium,1,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Argentina,USA,6,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Uruguay,Yugoslavia,6,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Uruguay,Argentina,4,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Sweden,Argentina,3,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Germany,Belgium,5,2,No,Win,Lose,,,,,,,,,,,,,,
