year,date,home_team,away_team,home_team_score,away_team_score,shoot_out,home_team_result,away_team_result,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_avg_fifa_points,away_team_avg_fifa_points,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
1930,1930-06-15,Francia,México,4,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Argentina,Francia,1,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Chile,México,3,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Chile,Francia,1,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Argentina,México,6,3,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Argentina,Chile,3,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Yugoslavia,Brasil,2,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Yugoslavia,Bolivia,4,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Brasil,Bolivia,4,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Rumania,Perú,3,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Uruguay,Perú,1,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Uruguay,Rumania,4,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Estados Unidos,Bélgica,3,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Estados Unidos,Paraguay,3,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Paraguay,Bélgica,1,0,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Argentina,Estados Unidos,6,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Uruguay,Yugoslavia,6,1,No,Win,Lose,,,,,,,,,,,,,,
1930,1930-06-15,Uruguay,Argentina,4,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Suecia,Argentina,3,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Alemania,Bélgica,5,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Suiza,Países Bajos,3,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Checoslovaquia,Rumania,2,1,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Hungría,Egipto,4,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Austria,Francia,3,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,España,Brasil,3,1,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Italia,Estados Unidos,7,1,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Alemania,Suecia,2,1,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Checoslovaquia,Suiza,3,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Austria,Hungría,2,1,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Italia,España,1,1,No,Draw,Draw,,,,,,,,,,,,,,
1934,1934-06-15,Italia,España,1,0,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Checoslovaquia,Alemania,3,1,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Italia,Austria,1,0,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Alemania,Austria,3,2,No,Win,Lose,,,,,,,,,,,,,,
1934,1934-06-15,Italia,Checoslovaquia,2,1,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Suiza,Alemania,1,1,No,Draw,Draw,,,,,,,,,,,,,,
1938,1938-06-15,Francia,Bélgica,3,1,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Italia,Noruega,2,1,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Brasil,Polonia,6,5,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Checoslovaquia,Países Bajos,3,0,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Cuba,Rumania,3,3,No,Draw,Draw,,,,,,,,,,,,,,
1938,1938-06-15,Suecia,Austria,0,0,No,Draw,Draw,,,,,,,,,,,,,,
1938,1938-06-15,Hungría,Indias Orientales Neerlandesas,6,0,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Cuba,Rumania,2,1,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Suiza,Alemania,4,2,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Italia,Francia,3,1,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Brasil,Checoslovaquia,1,1,No,Draw,Draw,,,,,,,,,,,,,,
1938,1938-06-15,Hungría,Suiza,2,0,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Suecia,Cuba,8,0,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Brasil,Checoslovaquia,2,1,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Hungría,Suecia,5,1,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Italia,Brasil,2,1,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Brasil,Suecia,4,2,No,Win,Lose,,,,,,,,,,,,,,
1938,1938-06-15,Italia,Hungría,4,2,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Brasil,México,4,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Yugoslavia,Suiza,3,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Brasil,Suiza,2,2,No,Draw,Draw,,,,,,,,,,,,,,
1950,1950-06-15,Yugoslavia,México,4,1,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Brasil,Yugoslavia,2,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Suiza,México,2,1,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,España,Estados Unidos,3,1,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Inglaterra,Chile,2,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,España,Chile,2,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Estados Unidos,Inglaterra,1,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,España,Inglaterra,1,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Chile,Estados Unidos,5,2,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Suecia,Italia,3,2,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Suecia,Paraguay,2,2,No,Draw,Draw,,,,,,,,,,,,,,
1950,1950-06-15,Italia,Paraguay,2,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Uruguay,Bolivia,8,0,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Brasil,Suecia,7,1,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Uruguay,España,2,2,No,Draw,Draw,,,,,,,,,,,,,,
1950,1950-06-15,Uruguay,Suecia,3,2,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Brasil,España,6,1,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Suecia,España,3,1,No,Win,Lose,,,,,,,,,,,,,,
1950,1950-06-15,Uruguay,Brasil,2,1,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Yugoslavia,Francia,1,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Brasil,México,5,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Brasil,Yugoslavia,1,1,No,Draw,Draw,,,,,,,,,,,,,,
1954,1954-06-15,Francia,México,3,2,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Alemania,Turquía,4,1,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Hungría,Corea del Sur,9,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Hungría,Alemania,8,3,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Turquía,Corea del Sur,7,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Alemania,Turquía,7,2,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Austria,Escocia,1,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Uruguay,Checoslovaquia,2,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Uruguay,Escocia,7,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Austria,Checoslovaquia,5,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Suiza,Italia,2,1,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Inglaterra,Bélgica,4,4,No,Draw,Draw,,,,,,,,,,,,,,
1954,1954-06-15,Italia,Bélgica,4,1,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Inglaterra,Suiza,2,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Suiza,Italia,4,1,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Austria,Suiza,7,5,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Uruguay,Inglaterra,4,2,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Hungría,Brasil,4,2,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Alemania,Yugoslavia,2,0,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Hungría,Uruguay,4,2,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Alemania,Austria,6,1,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Austria,Uruguay,3,1,No,Win,Lose,,,,,,,,,,,,,,
1954,1954-06-15,Alemania,Hungría,3,2,No,Win,Lose,,,,,,,,,,,,,,
1958,1958-06-15,Argentina,Alemania,1,3,No,Lose,Win,,,,,,,,,,,,,,
1958,1958-06-15,Irlanda del Norte,Checoslovaquia,1,0,No,Win,Lose,,,,,,,,,,,,,,
1958,1958-06-15,Argentina,Irlanda del Norte,3,1,No,Win,Lose,,,,,,,,,,,,,,
1958,1958-06-15,Alemania,Checoslovaquia,2,2,No,Draw,Draw,,,,,,,,,,,,,,
1958,1958-06-15,Checoslovaquia,Argentina,6,1,No,Win,Lose,,,,,,,,,,,,,,
1958,1958-06-15,Alemania,Irlanda del Norte,2,2,No,Draw,Draw,,,,,,,,,,,,,,
