id,agno,home,away,score_0,score_1,tournament
0,1933,Suecia,Estonia,6,2,FIFA World Cup qualification
1,1933,Lituania,Suecia,0,2,FIFA World Cup qualification
2,1933,Yugoslavia,Suiza,2,2,FIFA World Cup qualification
3,1933,Polonia,Checoslovaquia,1,2,FIFA World Cup qualification
4,1933,Suiza,Rumania,2,2,FIFA World Cup qualification
5,1934,Haití,Cuba,1,3,FIFA World Cup qualification
6,1934,Haití,Cuba,1,1,FIFA World Cup qualification
7,1934,Haití,Cuba,0,6,FIFA World Cup qualification
8,1934,Irlanda,Bélgica,4,4,FIFA World Cup qualification
9,1934,México,Cuba,3,2,FIFA World Cup qualification
10,1934,Luxemburgo,Alemania,1,9,FIFA World Cup qualification
11,1934,México,Cuba,5,0,FIFA World Cup qualification
12,1934,España,Portugal,9,0,FIFA World Cup qualification
13,1934,Egipto,Israel,7,1,FIFA World Cup qualification
14,1934,México,Cuba,4,1,FIFA World Cup qualification
15,1934,Portugal,España,1,2,FIFA World Cup qualification
16,1934,Bulgaria,Hungría,1,4,FIFA World Cup qualification
17,1934,Italia,Grecia,4,0,FIFA World Cup qualification
18,1934,Israel,Egipto,1,4,FIFA World Cup qualification
19,1934,Países Bajos,Irlanda,5,2,FIFA World Cup qualification
20,1934,Luxemburgo,Francia,1,6,FIFA World Cup qualification
21,1934,Austria,Bulgaria,6,1,FIFA World Cup qualification
22,1934,Hungría,Bulgaria,4,1,FIFA World Cup qualification
23,1934,Bélgica,Países Bajos,2,4,FIFA World Cup qualification
24,1934,Rumania,Yugoslavia,2,1,FIFA World Cup qualification
25,1934,México,Estados Unidos,2,4,FIFA World Cup qualification
26,1937,Suecia,Finlandia,4,0,FIFA World Cup qualification
27,1937,Suecia,Estonia,7,2,FIFA World Cup qualification
28,1937,Finlandia,Alemania,0,2,FIFA World Cup qualification
29,1937,Letonia,Lituania,4,2,FIFA World Cup qualification
30,1937,Finlandia,Estonia,0,1,FIFA World Cup qualification
31,1937,Alemania,Estonia,4,1,FIFA World Cup qualification
32,1937,Lituania,Letonia,1,5,FIFA World Cup qualification
33,1937,Austria,Letonia,2,1,FIFA World Cup qualification
34,1937,Noruega,Irlanda,3,2,FIFA World Cup qualification
35,1937,Polonia,Yugoslavia,4,0,FIFA World Cup qualification
36,1937,Bulgaria,Checoslovaquia,1,1,FIFA World Cup qualification
37,1937,Irlanda,Noruega,3,3,FIFA World Cup qualification
38,1937,Alemania,Suecia,5,0,FIFA World Cup qualification
39,1937,Países Bajos,Luxemburgo,4,0,FIFA World Cup qualification
40,1938,Israel,Grecia,1,3,FIFA World Cup qualification
41,1938,Grecia,Israel,1,0,FIFA World Cup qualification
42,1938,Luxemburgo,Bélgica,2,3,FIFA World Cup qualification
43,1938,Hungría,Grecia,11,1,FIFA World Cup qualification
44,1938,Bélgica,Países Bajos,1,1,FIFA World Cup qualification
45,1938,Yugoslavia,Polonia,1,0,FIFA World Cup qualification
46,1938,Checoslovaquia,Bulgaria,6,0,FIFA World Cup qualification
47,1938,Suiza,Portugal,2,1,FIFA World Cup qualification
48,1949,Suecia,Irlanda,3,1,FIFA World Cup qualification
49,1949,Suiza,Luxemburgo,5,2,FIFA World Cup qualification
50,1949,Yugoslavia,Israel,6,0,FIFA World Cup qualification
51,1949,Irlanda,Finlandia,3,0,FIFA World Cup qualification
52,1949,Israel,Yugoslavia,2,5,FIFA World Cup qualification
53,1949,Luxemburgo,Suiza,2,3,FIFA World Cup qualification
54,1949,México,Estados Unidos,6,2,FIFA World Cup qualification
55,1949,Estados Unidos,Cuba,5,2,FIFA World Cup qualification
56,1949,México,Cuba,3,0,FIFA World Cup qualification
57,1949,Irlanda del Norte,Escocia,2,8,FIFA World Cup qualification
58,1949,Finlandia,Irlanda,1,1,FIFA World Cup qualification
59,1949,Yugoslavia,Francia,1,1,FIFA World Cup qualification
60,1949,Gales,Inglaterra,1,4,FIFA World Cup qualification
61,1949,Francia,Yugoslavia,1,1,FIFA World Cup qualification
62,1949,Escocia,Gales,2,0,FIFA World Cup qualification
63,1949,Irlanda,Suecia,1,3,FIFA World Cup qualification
64,1949,Inglaterra,Irlanda del Norte,9,2,FIFA World Cup qualification
65,1949,Turquía,Siria,7,0,FIFA World Cup qualification
66,1949,Francia,Yugoslavia,2,3,FIFA World Cup qualification
67,1950,Gales,Irlanda del Norte,0,0,FIFA World Cup qualification
68,1950,España,Portugal,5,1,FIFA World Cup qualification
69,1950,Portugal,España,2,2,FIFA World Cup qualification
70,1950,Escocia,Inglaterra,0,1,FIFA World Cup qualification
71,1953,Yugoslavia,Grecia,1,0,FIFA World Cup qualification
72,1953,Finlandia,Bélgica,2,4,FIFA World Cup qualification
73,1953,Suecia,Bélgica,2,3,FIFA World Cup qualification
74,1953,Checoslovaquia,Rumania,2,0,FIFA World Cup qualification
75,1953,Noruega,Sarre,2,3,FIFA World Cup qualification
76,1953,Rumania,Bulgaria,3,1,FIFA World Cup qualification
77,1953,México,Haití,8,0,FIFA World Cup qualification
78,1953,Finlandia,Suecia,3,3,FIFA World Cup qualification
79,1953,Suecia,Finlandia,4,0,FIFA World Cup qualification
80,1953,Noruega,Alemania,1,1,FIFA World Cup qualification
81,1953,Bulgaria,Checoslovaquia,1,2,FIFA World Cup qualification
82,1953,Luxemburgo,Francia,1,6,FIFA World Cup qualification
83,1953,Bélgica,Finlandia,2,2,FIFA World Cup qualification
84,1953,Austria,Portugal,9,1,FIFA World Cup qualification
85,1953,Irlanda del Norte,Escocia,1,3,FIFA World Cup qualification
86,1953,Irlanda,Francia,3,5,FIFA World Cup qualification
87,1953,Bélgica,Suecia,2,0,FIFA World Cup qualification
88,1953,Gales,Inglaterra,1,4,FIFA World Cup qualification
89,1953,Bulgaria,Rumania,1,2,FIFA World Cup qualification
90,1953,Alemania,Sarre,3,0,FIFA World Cup qualification
91,1953,Rumania,Checoslovaquia,0,1,FIFA World Cup qualification
92,1953,Irlanda,Luxemburgo,4,0,FIFA World Cup qualification
93,1953,Grecia,Israel,1,0,FIFA World Cup qualification
94,1953,Escocia,Gales,3,3,FIFA World Cup qualification
95,1953,Checoslovaquia,Bulgaria,0,0,FIFA World Cup qualification
96,1953,Sarre,Noruega,0,0,FIFA World Cup qualification
97,1953,Yugoslavia,Israel,1,0,FIFA World Cup qualification
98,1953,Inglaterra,Irlanda del Norte,3,1,FIFA World Cup qualification
99,1953,Egipto,Italia,1,2,FIFA World Cup qualification
100,1953,Alemania,Noruega,5,1,FIFA World Cup qualification
101,1953,Francia,Irlanda,1,0,FIFA World Cup qualification
102,1953,Portugal,Austria,0,0,FIFA World Cup qualification
103,1953,Francia,Luxemburgo,8,0,FIFA World Cup qualification
104,1953,Haití,México,0,4,FIFA World Cup qualification
105,1954,España,Turquía,4,1,FIFA World Cup qualification
106,1954,México,Estados Unidos,4,0,FIFA World Cup qualification
107,1954,México,Estados Unidos,3,1,FIFA World Cup qualification
108,1954,Italia,Egipto,5,1,FIFA World Cup qualification
109,1954,Paraguay,Chile,4,0,FIFA World Cup qualification
110,1954,Chile,Paraguay,1,3,FIFA World Cup qualification
111,1954,Chile,Brasil,0,2,FIFA World Cup qualification
112,1954,Japón,Corea del Sur,1,5,FIFA World Cup qualification
113,1954,Luxemburgo,Irlanda,0,1,FIFA World Cup qualification
114,1954,Paraguay,Brasil,0,1,FIFA World Cup qualification
115,1954,Israel,Grecia,0,2,FIFA World Cup qualification
116,1954,Brasil,Chile,1,0,FIFA World Cup qualification
117,1954,Japón,Corea del Sur,2,2,FIFA World Cup qualification
118,1954,Turquía,España,1,0,FIFA World Cup qualification
119,1954,Turquía,España,2,2,FIFA World Cup qualification
120,1954,Israel,Yugoslavia,0,1,FIFA World Cup qualification
121,1954,Brasil,Paraguay,4,1,FIFA World Cup qualification
122,1954,Grecia,Yugoslavia,0,1,FIFA World Cup qualification
123,1954,Sarre,Alemania,1,3,FIFA World Cup qualification
124,1954,Gales,Irlanda del Norte,1,2,FIFA World Cup qualification
125,1954,Haití,Estados Unidos,2,3,FIFA World Cup qualification
126,1954,Escocia,Inglaterra,2,4,FIFA World Cup qualification
127,1954,Haití,Estados Unidos,0,3,FIFA World Cup qualification
128,1956,Austria,Luxemburgo,7,0,FIFA World Cup qualification
129,1956,Irlanda,Dinamarca,2,1,FIFA World Cup qualification
130,1956,Francia,Bélgica,6,3,FIFA World Cup qualification
131,1956,Inglaterra,Dinamarca,5,2,FIFA World Cup qualification
132,1957,Portugal,Irlanda del Norte,1,1,FIFA World Cup qualification
133,1957,Guatemala,Costa Rica,2,6,FIFA World Cup qualification
134,1957,Costa Rica,Guatemala,3,1,FIFA World Cup qualification
135,1957,Costa Rica,Curazao,4,0,FIFA World Cup qualification
136,1957,Sudán,Siria,1,0,FIFA World Cup qualification
137,1957,España,Suiza,2,2,FIFA World Cup qualification
138,1957,Guatemala,Curazao,1,3,FIFA World Cup qualification
139,1957,Países Bajos,Luxemburgo,4,1,FIFA World Cup qualification
140,1957,México,Estados Unidos,6,0,FIFA World Cup qualification
141,1957,Perú,Brasil,1,1,FIFA World Cup qualification
142,1957,Brasil,Perú,1,0,FIFA World Cup qualification
143,1957,Italia,Irlanda del Norte,1,0,FIFA World Cup qualification
144,1957,Estados Unidos,México,2,7,FIFA World Cup qualification
145,1957,Irlanda del Norte,Portugal,3,0,FIFA World Cup qualification
146,1957,Gales,Checoslovaquia,1,0,FIFA World Cup qualification
147,1957,Grecia,Yugoslavia,0,0,FIFA World Cup qualification
148,1957,Inglaterra,Irlanda,5,1,FIFA World Cup qualification
149,1957,Escocia,España,4,2,FIFA World Cup qualification
150,1957,Indonesia,China,2,0,FIFA World Cup qualification
151,1957,Dinamarca,Inglaterra,1,4,FIFA World Cup qualification
152,1957,Alemania Democrática,Gales,2,1,FIFA World Cup qualification
153,1957,Irlanda,Inglaterra,1,1,FIFA World Cup qualification
154,1957,Suiza,Escocia,1,2,FIFA World Cup qualification
155,1957,Noruega,Bulgaria,1,2,FIFA World Cup qualification
156,1957,Siria,Sudán,1,1,FIFA World Cup qualification
157,1957,Austria,Países Bajos,3,2,FIFA World Cup qualification
158,1957,Checoslovaquia,Gales,2,0,FIFA World Cup qualification
159,1957,Portugal,Italia,3,0,FIFA World Cup qualification
160,1957,España,Escocia,4,1,FIFA World Cup qualification
161,1957,China,Indonesia,4,3,FIFA World Cup qualification
162,1957,Francia,Islandia,8,0,FIFA World Cup qualification
163,1957,Bélgica,Islandia,8,3,FIFA World Cup qualification
164,1957,Noruega,Hungría,2,1,FIFA World Cup qualification
165,1957,Colombia,Uruguay,1,1,FIFA World Cup qualification
166,1957,Checoslovaquia,Alemania Democrática,3,1,FIFA World Cup qualification
167,1957,Grecia,Rumania,1,2,FIFA World Cup qualification
168,1957,Colombia,Paraguay,2,3,FIFA World Cup qualification
169,1957,Canadá,Estados Unidos,5,1,FIFA World Cup qualification
170,1957,China,Indonesia,0,0,FIFA World Cup qualification
