Unnamed: 0,home,score,away,year
0,Uruguay,2:1,Colombia,1962
1,Rusia,2:0,Yugoslavia,1962
2,Yugoslavia,3:1,Uruguay,1962
3,Rusia,4:4,Colombia,1962
4,Rusia,2:1,Uruguay,1962
5,Yugoslavia,5:0,Colombia,1962
6,Chile,3:1,Suiza,1962
7,Alemania,0:0,Italia,1962
8,Chile,2:0,Italia,1962
9,Alemania,2:1,Suiza,1962
10,Alemania,2:0,Chile,1962
11,Italia,3:0,Suiza,1962
12,Brasil,2:0,México,1962
13,Checoslovaquia,1:0,España,1962
14,Brasil,0:0,Checoslovaquia,1962
15,España,1:0,México,1962
16,Brasil,2:1,España,1962
17,México,3:1,Checoslovaquia,1962
18,Argentina,1:0,Bulgaria,1962
19,Hungría,2:1,Inglaterra,1962
20,Inglaterra,3:1,Argentina,1962
21,Hungría,6:1,Bulgaria,1962
22,Hungría,0:0,Argentina,1962
23,Inglaterra,0:0,Bulgaria,1962
24,Runners-up Grupo 2,Match 25,Winner Grupo 1,1962
25,Winner Grupo 3,Match 26,Runners-up Grupo 4,1962
26,Runners-up Grupo 3,Match 27,Winner Grupo 4,1962
27,Runners-up Grupo 1,Match 28,Winner Grupo 2,1962
28,Winner Match 26,Match 29,Winner Match 25,1962
29,Winner Match 27,Match 30,Winner Match 28,1962
30,Loser Match 29,Match 31,Loser Match 30,1962
31,Winner Match 29,Match 32,Winner Match 30,1962
