,home,score,away,year
0,Alemania,1:0,Chile,1974
1,Alemania Democrática,2:0,Australia,1974
2,Australia,0:3,Alemania,1974
3,Chile,1:1,Alemania Democrática,1974
4,Australia,0:0,Chile,1974
5,Alemania Democrática,1:0,Alemania,1974
6,Brasil,0:0,Yugoslavia,1974
7,República Democrática del Congo,0:2,Escocia,1974
8,Escocia,0:0,Brasil,1974
9,Yugoslavia,9:0,República Democrática del Congo,1974
10,Escocia,1:1,Yugoslavia,1974
11,República Democrática del Congo,0:3,Brasil,1974
12,Suecia,0:0,Bulgaria,1974
13,Uruguay,0:2,Países Bajos,1974
14,Países Bajos,0:0,Suecia,1974
15,Bulgaria,1:1,Uruguay,1974
16,Bulgaria,1:4,Países Bajos,1974
17,Suecia,3:0,Uruguay,1974
18,Italia,3:1,Haití,1974
19,Polonia,3:2,Argentina,1974
20,Argentina,1:1,Italia,1974
21,Haití,0:7,Polonia,1974
22,Polonia,2:1,Italia,1974
23,Argentina,4:1,Haití,1974
24,Winner Grupo 3,Match 25,Runners-up Grupo 4,1974
25,Runners-up Grupo 2,Match 26,Winner Grupo 1,1974
26,Winner Grupo 1,Match 27,Winner Grupo 3,1974
27,Runners-up Grupo 4,Match 28,Runners-up Grupo 2,1974
28,Winner Grupo 3,Match 29,Runners-up Grupo 2,1974
29,Runners-up Grupo 4,Match 30,Winner Grupo 1,1974
30,Winner Grupo 2,Match 31,Runners-up Grupo 1,1974
31,Runners-up Grupo 3,Match 32,Winner Grupo 4,1974
32,Winner Grupo 4,Match 33,Winner Grupo 2,1974
33,Runners-up Grupo 1,Match 34,Runners-up Grupo 3,1974
34,Winner Grupo 4,Match 35,Runners-up Grupo 1,1974
35,Runners-up Grupo 3,Match 36,Winner Grupo 2,1974
36,Runners-up Grupo A,Match 37,Runners-up Grupo B,1974
37,Winner Grupo A,Match 38,Winner Grupo B,1974
