id,home,score,away,agno
0,Suecia,Match 1,Argentina,1934
1,Alemania,Match 2,Bélgica,1934
2,Suiza,Match 3,Países Bajos,1934
3,Checoslovaquia,Match 4,Rumania,1934
4,Hungría,Match 5,Egipto,1934
5,Austria,Match 6,Francia,1934
6,España,Match 7,Brasil,1934
7,Italia,Match 8,Estados Unidos,1934
8,Winner Match 2,Match 9,Winner Match 1,1934
9,Winner Match 4,Match 10,Winner Match 3,1934
10,Winner Match 6,Match 11,Winner Match 5,1934
11,Winner Match 8,Match 12,Winner Match 7,1934
12,Winner Match 10,Match 14,Winner Match 9,1934
13,Winner Match 12,Match 15,Winner Match 11,1934
14,Loser Match 14,Match 16,Loser Match 15,1934
15,Winner Match 15,Match 17,Winner Match 14,1934
16,Suiza,Match 1,Alemania,1938
17,Francia,Match 2,Bélgica,1938
18,Italia,Match 3,Noruega,1938
19,Brasil,Match 4,Polonia,1938
20,Checoslovaquia,Match 5,Países Bajos,1938
21,Cuba,Match 6,Rumania,1938
22,Suecia,Match 7,Austria,1938
23,Hungría,Match 8,Indias Orientales Neerlandesas,1938
24,Winner Match 3,Match 11,Winner Match 2,1938
25,Winner Match 4,Match 12,Winner Match 5,1938
26,Winner Match 8,Match 13,Winner Match 1,1938
27,Winner Match 7,Match 14,Winner Match 6,1938
28,Winner Match 4,Match 15,Winner Match 5,1938
29,Winner Match 13,Match 16,Winner Match 14,1938
30,Winner Match 11,Match 17,Winner Match 12,1938
31,Loser Match 17,Match 18,Loser Match 16,1938
32,Winner Match 17,Match 19,Winner Match 16,1938
33,Brasil,4:0,México,1950
34,Yugoslavia,3:0,Suiza,1950
35,Brasil,2:2,Suiza,1950
36,Yugoslavia,4:1,México,1950
37,Brasil,2:0,Yugoslavia,1950
38,Suiza,2:1,México,1950
39,España,3:1,Estados Unidos,1950
40,Inglaterra,2:0,Chile,1950
41,España,2:0,Chile,1950
42,Estados Unidos,1:0,Inglaterra,1950
43,España,1:0,Inglaterra,1950
44,Chile,5:2,Estados Unidos,1950
45,Suecia,3:2,Italia,1950
46,Suecia,2:2,Paraguay,1950
47,Italia,2:0,Paraguay,1950
48,Uruguay,8:0,Bolivia,1950
49,Winner Grupo 1,Match 17,Winner Grupo 3,1950
50,Winner Grupo 4,Match 18,Winner Grupo 2,1950
51,Winner Grupo 4,Match 19,Winner Grupo 3,1950
52,Winner Grupo 1,Match 20,Winner Grupo 2,1950
53,Winner Grupo 3,Match 21,Winner Grupo 2,1950
54,Winner Grupo 4,Match 22,Winner Grupo 1,1950
55,Yugoslavia,1:0,Francia,1954
56,Brasil,5:0,México,1954
57,Brasil,1:1,Yugoslavia,1954
58,Francia,3:2,México,1954
59,Alemania,4:1,Turquía,1954
60,Hungría,9:0,Corea del Sur,1954
61,Hungría,8:3,Alemania,1954
62,Turquía,7:0,Corea del Sur,1954
63,Alemania,7:2,Turquía,1954
64,Austria,1:0,Escocia,1954
65,Uruguay,2:0,Checoslovaquia,1954
66,Uruguay,7:0,Escocia,1954
67,Austria,5:0,Checoslovaquia,1954
68,Suiza,2:1,Italia,1954
69,Inglaterra,4:4,Bélgica,1954
70,Italia,4:1,Bélgica,1954
71,Inglaterra,2:0,Suiza,1954
72,Suiza,4:1,Italia,1954
73,Runners-up Grupo 3,Match 19,Runners-up Grupo 4,1954
74,Winner Grupo 3,Match 20,Winner Grupo 4,1954
75,Winner Grupo 2,Match 21,Winner Grupo 1,1954
76,Runners-up Grupo 2,Match 22,Runners-up Grupo 1,1954
77,Winner Match 21,Match 23,Winner Match 20,1954
78,Winner Match 22,Match 24,Winner Match 19,1954
79,Loser Match 24,Match 25,Loser Match 23,1954
80,Winner Match 24,Match 26,Winner Match 23,1954
81,Argentina,1:3,Alemania,1958
82,Irlanda del Norte,1:0,Checoslovaquia,1958
83,Argentina,3:1,Irlanda del Norte,1958
84,Alemania,2:2,Checoslovaquia,1958
