,home,score,away,year
4,Unión Soviética,2:0,El Salvador,1970
24,Uruguay,1:0,Unión Soviética,1970
14,Rumania,2:1,Checoslovaquia,1970
22,Alemania Federal,3:1,Perú,1970
26,Alemania Federal,3:2,Inglaterra,1970
0,México,0:0,Unión Soviética,1970
13,Brasil,4:1,Checoslovaquia,1970
5,México,1:0,Bélgica,1970
15,Brasil,1:0,Inglaterra,1970
28,Brasil,3:1,Uruguay,1970
12,Inglaterra,1:0,Rumania,1970
29,Italia,4:3,Alemania Federal,1970
16,Brasil,3:2,Rumania,1970
18,Perú,3:2,Bulgaria,1970
8,Uruguay,0:0,Italia,1970
17,Inglaterra,1:0,Checoslovaquia,1970
1,Bélgica,3:0,El Salvador,1970
10,Suecia,1:0,Uruguay,1970
19,Alemania Federal,2:1,Marruecos,1970
31,Brasil,4:1,Italia,1970
2,Unión Soviética,4:1,Bélgica,1970
9,Suecia,1:1,Israel,1970
7,Italia,1:0,Suecia,1970
30,Alemania Federal,1:0,Uruguay,1970
27,Italia,4:1,México,1970
11,Italia,0:0,Israel,1970
25,Brasil,4:2,Perú,1970
21,Alemania Federal,5:2,Bulgaria,1970
20,Perú,3:0,Marruecos,1970
6,Uruguay,2:0,Israel,1970
3,México,4:0,El Salvador,1970
23,Bulgaria,1:1,Marruecos,1970
