,home,score,away,year
0,Italia,1:0,Austria,1990
1,Estados Unidos,1:5,Checoslovaquia,1990
2,Italia,1:0,Estados Unidos,1990
3,Austria,0:1,Checoslovaquia,1990
4,Italia,2:0,Checoslovaquia,1990
5,Austria,2:1,Estados Unidos,1990
6,Argentina,0:1,Camerún,1990
7,Unión Soviética,0:2,Rumania,1990
8,Argentina,2:0,Unión Soviética,1990
9,Camerún,2:1,Rumania,1990
10,Argentina,1:1,Rumania,1990
11,Camerún,0:4,Unión Soviética,1990
12,Brasil,2:1,Suecia,1990
13,Costa Rica,1:0,Escocia,1990
14,Brasil,1:0,Costa Rica,1990
15,Suecia,1:2,Escocia,1990
16,Suecia,1:2,Costa Rica,1990
17,Brasil,1:0,Escocia,1990
18,Emiratos Árabes Unidos,0:2,Colombia,1990
19,Alemania Federal,4:1,Yugoslavia,1990
20,Yugoslavia,1:0,Colombia,1990
21,Alemania Federal,5:1,Emiratos Árabes Unidos,1990
22,Alemania Federal,1:1,Colombia,1990
23,Yugoslavia,4:1,Emiratos Árabes Unidos,1990
24,Bélgica,2:0,Corea del Sur,1990
25,Uruguay,0:0,España,1990
26,Corea del Sur,1:3,España,1990
27,Bélgica,3:1,Uruguay,1990
28,Corea del Sur,0:1,Uruguay,1990
29,Bélgica,1:2,España,1990
30,Inglaterra,1:1,Irlanda,1990
31,Países Bajos,1:1,Egipto,1990
32,Inglaterra,0:0,Países Bajos,1990
33,Irlanda,0:0,Egipto,1990
34,Inglaterra,1:0,Egipto,1990
35,Irlanda,1:1,Países Bajos,1990
36,Camerún,2:1,Colombia,1990
37,Checoslovaquia,4:1,Costa Rica,1990
38,Brasil,0:1,Argentina,1990
39,Alemania Federal,2:1,Países Bajos,1990
40,Irlanda,5:4,Rumania,1990
41,Italia,2:0,Uruguay,1990
42,España,1:2,Yugoslavia,1990
43,Inglaterra,1:0,Bélgica,1990
44,Yugoslavia,2:3,Argentina,1990
45,Italia,1:0,Irlanda,1990
46,Alemania Federal,1:0,Checoslovaquia,1990
47,Inglaterra,3:2,Camerún,1990
48,Italia,3:4,Argentina,1990
49,Alemania Federal,4:3,Inglaterra,1990
50,Italia,2:1,Inglaterra,1990
51,Alemania Federal,1:0,Argentina,1990
