Unnamed: 0,home,score,away,year
4,Argentina,6:3,México,1930
1,Argentina,1:0,Francia,1930
7,Yugoslavia,4:0,Bolivia,1930
17,Uruguay,4:2,Argentina,1930
6,Yugoslavia,2:1,Brasil,1930
0,Francia,4:1,México,1930
13,Estados Unidos,3:0,Paraguay,1930
15,Argentina,6:1,Estados Unidos,1930
16,Uruguay,6:1,Yugoslavia,1930
12,Estados Unidos,3:0,Bélgica,1930
10,Uruguay,1:0,Perú,1930
8,Brasil,4:0,Bolivia,1930
14,Paraguay,1:0,Bélgica,1930
9,Rumania,3:1,Perú,1930
5,Argentina,3:1,Chile,1930
2,Chile,3:0,México,1930
11,Uruguay,4:0,Rumania,1930
3,Chile,1:0,Francia,1930
3,Checoslovaquia,2:1,Rumania,1934
12,Italia,1:0,España,1934
5,Austria,3:2,Francia,1934
6,España,3:1,Brasil,1934
7,Italia,7:1,Estados Unidos,1934
11,Italia,1:1,España,1934
0,Suecia,3:2,Argentina,1934
16,Italia,2:1,Checoslovaquia,1934
1,Alemania,5:2,Bélgica,1934
4,Hungría,4:2,Egipto,1934
2,Suiza,3:2,Países Bajos,1934
8,Alemania,2:1,Suecia,1934
13,Checoslovaquia,3:1,Alemania,1934
10,Austria,2:1,Hungría,1934
14,Italia,1:0,Austria,1934
15,Alemania,3:2,Austria,1934
9,Checoslovaquia,3:2,Suiza,1934
14,Brasil,2:1,Checoslovaquia,1938
6,Suecia,0:0,Austria,1938
11,Brasil,1:1,Checoslovaquia,1938
4,Checoslovaquia,3:0,Países Bajos,1938
1,Francia,3:1,Bélgica,1938
7,Hungría,6:0,Indias Orientales Neerlandesas,1938
8,Cuba,2:1,Rumania,1938
0,Suiza,1:1,Alemania,1938
16,Italia,2:1,Brasil,1938
17,Brasil,4:2,Suecia,1938
12,Hungría,2:0,Suiza,1938
15,Hungría,5:1,Suecia,1938
3,Brasil,6:5,Polonia,1938
10,Italia,3:1,Francia,1938
18,Italia,4:2,Hungría,1938
13,Suecia,8:0,Cuba,1938
5,Cuba,3:3,Rumania,1938
2,Italia,2:1,Noruega,1938
9,Suiza,4:2,Alemania,1938
20,Suecia,3:1,España,1950
1,Yugoslavia,3:0,Suiza,1950
15,Uruguay,8:0,Bolivia,1950
19,Brasil,6:1,España,1950
17,Uruguay,2:2,España,1950
5,Suiza,2:1,México,1950
18,Uruguay,3:2,Suecia,1950
21,Uruguay,2:1,Brasil,1950
9,Estados Unidos,1:0,Inglaterra,1950
10,España,1:0,Inglaterra,1950
4,Brasil,2:0,Yugoslavia,1950
13,Suecia,2:2,Paraguay,1950
16,Brasil,7:1,Suecia,1950
11,Chile,5:2,Estados Unidos,1950
0,Brasil,4:0,México,1950
8,España,2:0,Chile,1950
6,España,3:1,Estados Unidos,1950
2,Brasil,2:2,Suiza,1950
14,Italia,2:0,Paraguay,1950
12,Suecia,3:2,Italia,1950
7,Inglaterra,2:0,Chile,1950
3,Yugoslavia,4:1,México,1950
13,Suiza,2:1,Italia,1954
